OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus
06f825b512d903b9230e1a55d87359ee	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus
4f5efd25dacb5d639316e7291ff6ff8b	k_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Betaproteobacteriales	f_Neisseriaceae	g_Neisseria
7d78ed99b08bd1723065fdd795d17e9c	k_Bacteria	p_Actinobacteria	c_Actinobacteria	o_Corynebacteriales	f_Corynebacteriaceae	g_Corynebacterium 1
65d43491988bfe557da4d86a5ba25dae	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Staphylococcaceae	g_Staphylococcus
32f8fd11d2bee278d609a1d4ab767554	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella 7
394eda29c886632f514dd94b58381186	k_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Pasteurellales	f_Pasteurellaceae	g_Haemophilus
8674dcf0cfe35939037fa9a5b986866f	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Fusobacteriaceae	g_Fusobacterium
923f521b9cf313f1f95c9367e09bbc1c	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Veillonellaceae	g_Veillonella
224102d609b83a172b11bd9115107f16	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Porphyromonadaceae	g_Porphyromonas
22b3c70cdfb1714224e1bf8a6314bee9	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Family XI	g_Finegoldia
cd9401a6bce4a63af516d06d2a843f9d	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Veillonellaceae	g_Veillonella
0232b56c81bb04fb94bdcfdf8b073ae1	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Porphyromonadaceae	g_Porphyromonas
aa9b3a1418d146c262ec63305292065a	k_Bacteria	p_Actinobacteria	c_Actinobacteria	o_Corynebacteriales	f_Corynebacteriaceae	g_Corynebacterium 1
ca9c66d47347c03d0343d6fe03ed8636	k_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Pasteurellales	f_Pasteurellaceae	g_Haemophilus
85c44c83eddc5d3028261a1000b7d0e1	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Family XI	g_Gemella
426a58d7fde254d8ff01fac25e36ff0e	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Alloprevotella
f965319c0367c47567d70b923e4673d7	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella 7
d8a05ea8aecfcf5910db345be88e712a	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella
02df8598ac39f1ef54609afb19c8c450	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus
0a21726cd4952a96635576553da67787	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Alloprevotella
b0b4dde3991e8da02f84cf77e5a35d63	k_Bacteria	p_Epsilonbacteraeota	c_Campylobacteria	o_Campylobacterales	f_Campylobacteraceae	g_Campylobacter
2bd9309f2f97cae51d18d06ea1ca519a	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Carnobacteriaceae	g_Granulicatella
0a857f235b897d7c44e86f0c1b75c69b	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Alloprevotella
7fb08fa9b7b2eef6a3db57d0de769227	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Family XI	g_Peptoniphilus
cbef40f459197faa8de7bba6a4764a34	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella
f0232e28323111f209fbb997f84dd4a7	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella 6
e606e6a9dbcbaefd0fe8f53571bbcab0	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella 7
f1860fe716257bd5fd5c4c6a16cf3b95	k_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Betaproteobacteriales	f_Neisseriaceae	g_Neisseria
b03d2e5ac94c7a0d115e5c542e9315e8	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Carnobacteriaceae	g_Dolosigranulum
1f0532e025d966a685fd0d1f3144bc8a	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Peptostreptococcaceae	g_Peptostreptococcus
99deb3c5ecb022ec05609ebd1112a557	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Bacteroides
17ae20a577370dc92154c6b1f5b2a5aa	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Leptotrichia
d46e2205f0c6ecf67b51f83d111c509c	k_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacteriales	f_Enterobacteriaceae	g_Escherichia-Shigella
b7b4ecb07e1719860260746a5443092a	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella 7
29f83e66700f19358051530ce2f68e96	k_Bacteria	p_Actinobacteria	c_Actinobacteria	o_Micrococcales	f_Cellulomonadaceae	g_Tropheryma
edc9e5c16e40aff1eadce6597940f08f	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus
0a3cf58d4ca062c13d42c9db4ebcbc53	k_Bacteria	p_Cyanobacteria	c_Oxyphotobacteria	o_Chloroplast		
66a9ece5a3664b5fd81ad0244ed3b5d3	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella
385197fd9f310da44597d7a6a8ad6916	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella
2721fd42d5373667f111c60faaf21eac	k_Bacteria	p_Actinobacteria	c_Actinobacteria	o_Micrococcales	f_Micrococcaceae	g_Rothia
3b94c19ef326eea0918e1c3d244c999c	k_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacteriales	f_Enterobacteriaceae	
6e3e062d65c1b047950a2492118eb70b	k_Bacteria	p_Patescibacteria	c_Gracilibacteria	o_Absconditabacteriales (SR1)	f_SR1 bacterium oral taxon 875	g_SR1 bacterium oral taxon 875
e708751e62639cc0951c413f92ea7620	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Fusobacteriaceae	g_Fusobacterium
a1449b1be756f1d781c8085dc619700c	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella 7
c67ba62f34a05261ea7a810ff643a52c	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Family XI	g_Anaerococcus
ec6665f4d7bda38bfb9ebcac845d2067	k_Bacteria	p_Actinobacteria	c_Actinobacteria	o_Corynebacteriales	f_Corynebacteriaceae	g_Corynebacterium 1
3916a456bb0a3bfd02c15fd537ff5923	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Veillonellaceae	g_Megasphaera
e78ecb138a8bee2a728274b849db12c1	k_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Pasteurellales	f_Pasteurellaceae	g_Aggregatibacter
820f6693f569e339f183638cd73a7fe6	k_Bacteria	p_Actinobacteria	c_Actinobacteria	o_Corynebacteriales	f_Corynebacteriaceae	g_Lawsonella
3c7228b66038b74285cde6a69d28a4bd	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Alloprevotella
8e80ec2ce7273253b1e98358d64aef04	k_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Moraxellaceae	g_Moraxella
945184b6386c192c0066e0a98a154780	k_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacteriales	f_Enterobacteriaceae	
56bde454092279f47b556883d5909620	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus
59f7d8a7f37d6eeec95eb556f33da267	k_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Pasteurellales	f_Pasteurellaceae	g_Actinobacillus
900459d7792d6eda2a65aa3b2063fad6	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Porphyromonadaceae	g_Porphyromonas
ea403646ed22d679fa4586263d8fc32f	k_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Moraxellaceae	g_Acinetobacter
8f92285a09a85541ec6a6227f460846d	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Alloprevotella
3481fa43fe5fba6aecdc7f9aae6ed9c0	k_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacteriales	f_Enterobacteriaceae	
df8456a1abbfb4c8a2c450b44378d4cb	k_Bacteria	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces
0ab207b9089db29f14a89594023c2963	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella
f4c2587bbaa6e03cd0452af030d28bb5	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella
36ce67b3fecce277df99829617975495	k_Bacteria	p_Actinobacteria	c_Actinobacteria	o_Micrococcales	f_Micrococcaceae	g_Rothia
81b14a06fe51fed6aaa311ff4e370125	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella
e93b313352019b8113e7fc66bf757917	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Family XI	g_Parvimonas
99bccd58aaeb00f98e22add40be6e36b	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Peptostreptococcaceae	g_Clostridioides
