ID	Sites	HigherAbundance
7b28c20e72c6c95b3e604f0849245770	Nasal	0.00161503
80ac5cb7d06bd97f96c66b7cc0e51d1d	Saliva	0.001554525
293cc7ea49411a290b694fa60d27271a	BAL	0.000775947
f94e35f3a72a7eda2bd9cc0703494476	Saliva	0.001234368
550e67990490201211cecffcea993240	BAL	0.003139574
56a1183bb6660dcf141f82b6b044402e	Saliva	0.002783617
98168468361844b704d3747b8dfaadaa	Saliva	0.001768612
a13bf7c319da6c5c437261c2a4e3c6a1	Saliva	0.001763387
71e19a290c752b6f4d849e0af86c8bb4	Saliva	0.001036615
2ba6fd42d2747428cad67ec783b4131d	Saliva	0.00123834
8365c56e7d1f57079c8821b426206d94	Fecal	0.01037101
310ab433faac5fab0765d87127d7578f	BAL	0.002345237
c3a43e9dca56be145dbc08c893128e6f	Saliva	0.005024775
b8ebd974777e946c70174def839dd342	Oroph	0.002898138
9104e464668ba956eb9de3d3d2f9eb19	Fecal	0.007767707
b0b4dde3991e8da02f84cf77e5a35d63	Saliva	0.01695961
4ddcfae7911092976b66d0799c96d4d7	Fecal	0.002092087
edb02840fe91e2472e2935917600da98	Fecal	0.014902092
385197fd9f310da44597d7a6a8ad6916	Fecal	0.031337985
a09d6150a76ed5b484f9157717ad126a	Fecal	0.002452037
b84c6d1c92b851d4e94f37d56f65a538	Fecal	0.002030949
31ae90207edd94c7ec56db3a9778c2e7	Fecal	0.014509369
cec5a19c0bc75874dbf4cba133b10815	Nasal	0.001615208
e5ed6e7ed81822ee334ce7323fa96e1b	Oroph	0.001273272
d8a05ea8aecfcf5910db345be88e712a	Saliva	0.021330386
def5b6d8524e4fc6941620c712f1074d	Saliva	0.000990539
4fba6fef450158c1bd1cbcb5a0e8f5e5	Fecal	0.005704987
da6a7cba87e0895b9cbe6037b9bd8b3b	Fecal	0.002789556
675c847bccbc53942ebb7b8cbb4efc4d	Fecal	0.01562567
0c46b93beb2095bc899e1701b8364dbd	BAL	0.003527714
1601abe13540e0b21db9d29476137c31	Saliva	0.001016352
f67106d07b885d4d811daca7688633ed	Saliva	0.001665103
dd7cc08d0ee3a3481d409879ca2f066b	BAL	0.001306602
f4c2587bbaa6e03cd0452af030d28bb5	Fecal	0.017337436
5dc4a87514f65e55bd373c1283e95fc4	Fecal	0.010164323
cbef40f459197faa8de7bba6a4764a34	Saliva	0.017499911
66a9ece5a3664b5fd81ad0244ed3b5d3	Saliva	0.007836666
283fbda88937bcb5281d9d201f12780e	Saliva	0.001355908
0ab207b9089db29f14a89594023c2963	Oroph	0.009133771
134bcf72f243a6b77d97673e75b1564f	BAL	0.001089171
cdf14d2fed157f8032715a22d3bf4573	BAL	0.002194454
5f739b525275d4c54d06fe3d725c9a27	BAL	0.002533479
81b14a06fe51fed6aaa311ff4e370125	BAL	0.008180484
9252a890d5bdf6deb34361e3aa1a4f0e	BAL	0.001217251
49f7701312ac7878e8c245d65760c2cf	Fecal	0.005516595
e3f6085120269cc587278b4f3486c200	Saliva	0.002269954
b7b4ecb07e1719860260746a5443092a	Oroph	0.009836885
8247c77d2592b58dd67457aa5338b169	Oroph	0.003105528
712f610d95151fd7db44bd3a13e3ad15	BAL	0.002035458
f0232e28323111f209fbb997f84dd4a7	Saliva	0.013966979
0f9638d2552efe175d8e971e60bca94f	Saliva	0.00126439
9d254fcb4c3b261d06dd6e9e27816bfc	Saliva	0.000851354
b455ef92c8751379d0518d2f9f29e93a	Saliva	0.000739193
e3537d63b833a7b2ccd4e5189fb430a1	Saliva	0.001154904
7a4b9a8b5335be29dfb281a62b1904ac	Saliva	0.000971796
2d12e22c058f6a1822a86b72e6274d05	Saliva	0.001026393
3a44838b7ae01d12d6931bd50e0479c5	Saliva	0.001290501
7f862b96f58f9f2a310e849bd3a65069	Saliva	0.00259905
e606e6a9dbcbaefd0fe8f53571bbcab0	Oroph	0.011140601
cb7b110627b75c179449ecb70f8bc8d0	Saliva	0.002127622
f965319c0367c47567d70b923e4673d7	Saliva	0.023955909
32f8fd11d2bee278d609a1d4ab767554	Oroph	0.057504662
785d67b0c0232c96a21b7bf1c46f0a79	Saliva	0.005991342
86e4497c054a30a69e80832fa1dfd876	Saliva	0.005663696
0f31a57c7a452ee03b5f5bf4a2d960cf	Oroph	0.000664822
a1449b1be756f1d781c8085dc619700c	Saliva	0.006633196
485b61658eddfbbe67e757221b0d8ab6	Oroph	0.002978263
958d54f6c2724fdc04ad01d39d59aaca	Fecal	0.016042617
5c1dd48ef0a674513626f5c85ea126ee	Fecal	0.010045588
29a26acc2d7ec57f7835aa66dd1cf82f	BAL	0.004141596
8f92285a09a85541ec6a6227f460846d	Oroph	0.010888261
