ID	Sites	Abundance
7b28c20e72c6c95b3e604f0849245770	BAL	3.92E-05
7b28c20e72c6c95b3e604f0849245770	Saliva	0
7b28c20e72c6c95b3e604f0849245770	Oroph	2.05E-05
7b28c20e72c6c95b3e604f0849245770	Nasal	0.00161503
7b28c20e72c6c95b3e604f0849245770	Fecal	0.000319797
80ac5cb7d06bd97f96c66b7cc0e51d1d	BAL	0.00117535
80ac5cb7d06bd97f96c66b7cc0e51d1d	Saliva	0.001554525
80ac5cb7d06bd97f96c66b7cc0e51d1d	Oroph	0.000246803
80ac5cb7d06bd97f96c66b7cc0e51d1d	Nasal	3.06E-05
80ac5cb7d06bd97f96c66b7cc0e51d1d	Fecal	1.02E-05
293cc7ea49411a290b694fa60d27271a	BAL	0.000775947
293cc7ea49411a290b694fa60d27271a	Saliva	0.000722546
293cc7ea49411a290b694fa60d27271a	Oroph	0.000185669
293cc7ea49411a290b694fa60d27271a	Nasal	5.76E-05
293cc7ea49411a290b694fa60d27271a	Fecal	6.35E-06
f94e35f3a72a7eda2bd9cc0703494476	BAL	0.000755147
f94e35f3a72a7eda2bd9cc0703494476	Saliva	0.001234368
f94e35f3a72a7eda2bd9cc0703494476	Oroph	0.00021497
f94e35f3a72a7eda2bd9cc0703494476	Nasal	6.83E-06
f94e35f3a72a7eda2bd9cc0703494476	Fecal	0
550e67990490201211cecffcea993240	BAL	0.003139574
550e67990490201211cecffcea993240	Saliva	0.002346294
550e67990490201211cecffcea993240	Oroph	0.000546439
550e67990490201211cecffcea993240	Nasal	6.92E-05
550e67990490201211cecffcea993240	Fecal	7.46E-06
56a1183bb6660dcf141f82b6b044402e	BAL	0.00126806
56a1183bb6660dcf141f82b6b044402e	Saliva	0.002783617
56a1183bb6660dcf141f82b6b044402e	Oroph	8.60E-05
56a1183bb6660dcf141f82b6b044402e	Nasal	2.84E-06
56a1183bb6660dcf141f82b6b044402e	Fecal	3.05E-05
98168468361844b704d3747b8dfaadaa	BAL	0.000705791
98168468361844b704d3747b8dfaadaa	Saliva	0.001768612
98168468361844b704d3747b8dfaadaa	Oroph	0.000144667
98168468361844b704d3747b8dfaadaa	Nasal	3.49E-05
98168468361844b704d3747b8dfaadaa	Fecal	1.25E-06
a13bf7c319da6c5c437261c2a4e3c6a1	BAL	0.000861019
a13bf7c319da6c5c437261c2a4e3c6a1	Saliva	0.001763387
a13bf7c319da6c5c437261c2a4e3c6a1	Oroph	0.000102255
a13bf7c319da6c5c437261c2a4e3c6a1	Nasal	4.41E-05
a13bf7c319da6c5c437261c2a4e3c6a1	Fecal	0
