	HC001B	HC003B	HC004B	HC005B	HC006B	HC007B	HC008B	HC009B	HC010B	HC011B	HC012B	HC013B	HC014B	HC020B	HC021B	HC022B	HC023B	HC024B	HC025B	HC026B	HC027B	HC028B	HC029B	HC030B	HC031B	HC032B	HC034B	HC035B	HC036B	HC037B	HC038B	HC039B	LC001R	LC002L	LC006R	LC008L	LC009R	LC011R	LC012R	LC014L	LC016R	LC018R	LC020L	LC022R	LC025R	LC029R	LC030R	LC031R	LC033R	LC035L	LC036R	LC038L	LC039R	LC042L	LC043L	LC044R	LC045R	LC048R	LC051L	LC052R	LC053L	LC054R	LC058R	LC059R	LC063R	LC064R	LC065R	LC067R	LC068L	LC069R	LC075R	LC080L	LC081R	LC082R	LC084R	LC085R	LC086R	LC087R	LC088R	LC089L	LC090L	LC091R	LC092R	LC094L	LC095R	LC096R	LC097R	LC098L	LC099L	LC101L	LC102R	LC108R	LC109R	LC110R	LC116R	LC119R	LC120R	LC121R	LC123R
D_10__Malassezia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_11__Mammalia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
g_[Clostridium] innocuum group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_[Eubacterium] brachy group	43	25	157	35	0	0	4	32	28	12	0	123	0	61	0	28	2	1	1	4	0	0	9	2	15	22	62	8	21	2	23	3	0	20	8	11	0	0	0	1	1	6	21	1	1	11	1	171	54	2	3	3	1	0	1	0	3	6	12	45	93	1	2	4	4	13	9	14	22	6	50	61	10	148	9	5	7	0	5	3	1	0	43	0	4	0	0	16	16	14	0	63	30	13	0	0	1	0	1
g_[Eubacterium] coprostanoligenes group	0	1	0	0	38	54	6	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	18	0	0	1	1	4	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	64	0	0	0	0	23	0	0	2	0	0	0	0	0	0	0	0	0	0
g_[Eubacterium] eligens group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_[Eubacterium] hallii group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_[Eubacterium] nodatum group	3	166	94	87	3	0	2	96	103	34	9	74	35	38	39	62	44	89	0	74	29	226	19	8	36	21	37	39	47	12	103	47	26	24	127	24	12	0	0	5	0	4	46	44	103	11	73	0	45	4	44	41	51	22	7	36	28	211	35	356	0	4	237	30	22	38	66	140	46	16	116	50	49	53	87	43	58	56	109	7	4	26	32	141	108	0	0	49	78	47	6	43	15	121	0	71	91	3	10
g_[Eubacterium] ruminantium group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_[Eubacterium] saphenum group	0	0	57	27	1	0	0	19	113	0	0	6	0	61	0	0	5	39	1	6	22	0	0	0	0	119	104	0	65	11	0	6	0	0	12	27	5	0	0	0	3	7	5	43	0	14	0	0	133	0	2	2	5	0	3	53	10	27	9	0	0	1	0	14	72	0	3	12	0	0	134	14	0	21	3	5	0	0	29	22	0	59	21	0	4	0	0	32	16	5	3	68	0	4	0	39	7	0	5
g_[Eubacterium] ventriosum group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_[Eubacterium] xylanophilum group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_[Eubacterium] yurii group	13	0	0	9	0	0	0	0	0	2	1	0	0	20	0	4	0	5	0	0	19	5	0	2	0	12	6	0	4	0	0	0	8	0	1	0	0	0	0	0	0	0	2	4	12	0	0	0	8	0	0	0	3	0	0	4	0	5	3	56	0	3	1	2	0	2	2	11	0	0	0	0	0	5	10	0	0	0	0	0	0	0	0	41	0	0	0	3	0	0	37	11	0	0	0	12	2	0	0
g_[Ruminococcus] gauvreauii group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_[Ruminococcus] gnavus group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_[Ruminococcus] torques group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0
g_1174-901-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_2013Ark19i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Abiotrophia	0	0	0	7	0	0	0	23	1	0	0	0	0	13	0	7	8	9	0	0	2	0	6	30	7	11	7	0	4	0	0	0	0	5	0	3	2	0	2	0	0	4	7	3	6	19	5	3	0	0	0	0	0	0	0	0	2	0	5	0	0	3	0	33	9	24	0	0	10	55	36	24	0	4	25	13	0	0	7	7	8	0	3	47	11	0	0	9	15	5	5	8	9	0	0	7	0	0	2
g_Acholeplasma	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	21	0	0	46	0	52	0	0	2	1	5	5	4	103	4	3	0	0	215	1	2	14	2	267	0	1	0	4	4	4	2	2	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	107	0	0	0	0	0	0	21	0	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0
g_Achromobacter	1	2	2	5	0	0	14	6	2	2	4	4	6	0	0	0	0	0	7	0	0	8	28	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	3	3	4	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	39	0	0	0	30
g_Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Acidibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	12	10	12	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	14
g_Acinetobacter	30	1	0	10	40	44	45	8	6	15	23	17	20	0	45	3	5	0	46	2	0	120	538	127	7	4	2	10	5	45	31	0	17	18	52	7	16	435	171	167	208	25	13	7	40	11	102	494	3	14	0	0	0	41	0	1	0	23	0	3	289	0	24	2	0	0	0	0	0	0	0	0	0	0	0	0	23	5	5	19	0	95	7	34	13	69	705	13	6	6	3	8	12	0	79	3	3	1	125
g_Actinidia chinensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Actinobacillus	316	102	27	50	0	0	75	84	12	132	73	63	506	80	115	300	0	132	123	110	68	79	89	0	50	356	176	27	106	528	70	43	32	0	2	21	0	0	0	0	11	25	27	39	511	15	378	13	210	677	36	7	223	0	8	61	29	25	57	0	1	0	123	50	94	0	37	312	37	13	40	0	29	0	75	30	44	0	0	86	0	0	0	0	42	350	0	90	149	0	13	232	136	0	0	38	84	0	0
g_Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Actinomyces	5	15	22	20	0	0	0	55	36	19	3	32	12	7	19	6	36	43	4	7	14	23	9	5	13	0	20	16	12	14	19	14	143	155	134	276	216	18	15	27	5	2	30	62	53	13	8	0	32	0	46	46	25	41	19	7	12	14	27	23	32	8	30	31	18	117	0	17	1	35	33	211	88	69	32	34	21	15	36	4	0	3	6	193	16	0	0	13	3	10	13	0	0	6	0	5	14	0	0
g_Actinomycetospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Actinotignum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Adhaeribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Adlercreutzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Aerococcus	0	0	0	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Aeromicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
g_Aeromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	7	31	22	0	0	0	0	0	7	0	0	0	0	11	4	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
g_Aerosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Agathobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Aggregatibacter	225	107	134	14	0	0	49	158	36	100	16	16	158	62	0	66	32	113	0	257	134	13	53	156	28	286	234	85	180	70	252	67	53	0	33	62	7	0	0	75	3	40	147	19	12	39	7	3	68	62	10	3	20	0	9	6	68	20	33	0	2	5	9	226	96	14	27	47	83	51	113	0	164	26	118	10	112	34	239	19	0	0	88	0	89	162	0	137	221	13	19	117	176	8	0	79	113	17	40
g_Akkermansia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	6	0	2	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Algoriphagus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Alistipes	0	0	0	0	31	31	0	1	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Alkanindiges	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Allisonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Allobaculum	0	0	0	0	42	67	2	0	7	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Alloprevotella	1866	420	261	1354	257	369	51	503	516	1407	108	323	369	600	186	337	21	254	111	840	568	411	320	160	227	325	178	264	448	332	296	570	945	422	620	690	685	901	83	444	7	42	365	786	1301	640	50	142	336	86	1338	112	152	155	9	573	782	393	399	1265	7	16	540	776	312	332	971	839	388	72	188	42	148	124	104	400	353	869	469	261	382	11	324	548	391	813	0	505	399	165	644	191	389	392	95	230	529	62	170
g_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	56	101	147	0	4	0	0	0	24	3	0	0	0	0	1	0	0	0	0	0	2	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	63
g_Alloscardovia	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Alphaproteobacteria bacterium canine oral taxon 081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
