	HC001B	HC001F	HC001N	HC001T	HC002F	HC002N	HC002T	HC003B	HC003F	HC003N	HC003T	HC003V	HC004B	HC004F	HC004N	HC004T	HC004V	HC005B	HC005F	HC005N	HC005T	HC005V	HC006B	HC006F	HC006N	HC006T	HC006V	HC007B	HC007F	HC007N	HC007T	HC007V	HC008B	HC008F	HC008N	HC008T	HC008V	HC009B	HC009F	HC009N	HC009T	HC009V	HC010B	HC010F	HC010N	HC010T	HC010V	HC011B	HC011F	HC011N	HC011T	HC011V	HC012B	HC012F	HC012N	HC012T	HC012V	HC013B	HC013F	HC013N	HC013T	HC013V	HC014B	HC014F	HC014N	HC014T	HC014V	HC015F	HC015N	HC015T	HC015V	HC016F	HC016N	HC016T	HC016V	HC020B	HC020F	HC020N	HC020T	HC020V	HC021B	HC021F	HC021N	HC021T	HC021V	HC022B	HC022F	HC022N	HC022T	HC022V	HC023B	HC023F	HC023N	HC023T	HC023V	HC024B	HC024F	HC024N	HC024T	HC024V	HC025B	HC025F	HC025N	HC025T	HC025V	HC026B	HC026F	HC026T	HC026V	HC027B	HC027F	HC027N	HC027T	HC027V	HC028B	HC028F	HC028N	HC028T	HC028V	HC029B	HC029F	HC029N	HC029T	HC029V	HC030B	HC030F	HC030N	HC030T	HC030V	HC031B	HC031F	HC031N	HC031T	HC031V	HC032B	HC032F	HC032N	HC032T	HC032V	HC034B	HC034F	HC034N	HC034T	HC034V	HC035B	HC035F	HC035N	HC035T	HC035V	HC036B	HC036F	HC036N	HC036T	HC036V	HC037B	HC037F	HC037N	HC037T	HC037V	HC038B	HC038F	HC038N	HC038T	HC038V	HC039B	HC039F	HC039N	HC039T	HC039V	LC001R	LC002L	LC006R	LC008L	LC009R	LC011R	LC012R	LC014L	LC016R	LC018R	LC020L	LC022R	LC025R	LC029R	LC029V	LC030R	LC030V	LC031R	LC031V	LC033F	LC033N	LC033R	LC033T	LC033V	LC035F	LC035L	LC035N	LC035T	LC035V	LC036F	LC036N	LC036R	LC036T	LC036V	LC038F	LC038L	LC038N	LC038T	LC038V	LC039F	LC039N	LC039R	LC039T	LC039V	LC042F	LC042L	LC042N	LC042T	LC042V	LC043F	LC043L	LC043N	LC043T	LC043V	LC044F	LC044N	LC044R	LC044T	LC044V	LC045F	LC045N	LC045R	LC045T	LC045V	LC048F	LC048N	LC048R	LC048T	LC051L	LC051V	LC052F	LC052N	LC052R	LC052T	LC052V	LC053F	LC053L	LC053N	LC053T	LC053V	LC054F	LC054N	LC054R	LC054T	LC054V	LC058F	LC058N	LC058R	LC058T	LC058V	LC059F	LC059N	LC059R	LC059T	LC059V	LC063F	LC063N	LC063R	LC063T	LC063V	LC064F	LC064N	LC064R	LC064T	LC064V	LC065F	LC065N	LC065R	LC065T	LC065V	LC067F	LC067N	LC067R	LC067T	LC067V	LC068F	LC068L	LC068N	LC068T	LC069F	LC069N	LC069R	LC069T	LC069V	LC072F	LC072N	LC072T	LC074F	LC074N	LC074T	LC075F	LC075N	LC075R	LC075T	LC080F	LC080L	LC080N	LC080T	LC080V	LC081F	LC081N	LC081R	LC081T	LC082F	LC082N	LC082R	LC082T	LC084F	LC084N	LC084R	LC084T	LC084V	LC085F	LC085N	LC085R	LC085T	LC085V	LC086F	LC086N	LC086R	LC086T	LC086V	LC087F	LC087N	LC087R	LC087T	LC087V	LC088F	LC088N	LC088R	LC088T	LC088V	LC089F	LC089L	LC089N	LC089T	LC089V	LC090F	LC090L	LC090N	LC090T	LC091F	LC091N	LC091R	LC091T	LC091V	LC092F	LC092N	LC092R	LC092T	LC092V	LC094F	LC094L	LC094N	LC094T	LC094V	LC095F	LC095N	LC095R	LC095T	LC095V	LC096F	LC096N	LC096R	LC096T	LC096V	LC097F	LC097N	LC097R	LC097T	LC097V	LC098F	LC098L	LC098N	LC098T	LC098V	LC099F	LC099L	LC099N	LC099T	LC099V	LC101F	LC101L	LC101N	LC101T	LC101V	LC102F	LC102N	LC102R	LC102T	LC102V	LC108F	LC108N	LC108R	LC108T	LC108V	LC109F	LC109N	LC109R	LC109T	LC109V	LC110F	LC110N	LC110R	LC110T	LC110V	LC116F	LC116N	LC116R	LC116T	LC116V	LC119F	LC119N	LC119R	LC119T	LC119V	LC120F	LC120N	LC120R	LC120T	LC120V	LC121F	LC121N	LC121R	LC121T	LC121V	LC123F	LC123N	LC123R	LC123T	LC123V
D_10__Malassezia	0	0	1	0	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	7	0	0	0	0	0	0	0	0	0	17	0	0	0	0	75	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	158	0	0	0	0	67	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	39	0	0	0	0	0	0	0	0	0	3	0	0	0	2	7	0	0	0	0	0	0	0	0	0	1	0	0	0
D_11__Mammalia	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_[Clostridium] innocuum group	0	17	0	0	57	0	0	0	8	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	0	0	4	0	0	0	0	41	0	0	0	0	11	0	0	0	0	24	0	0	0	0	0	0	0	0	0	4	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	6	0	0	0	0	20	0	0	0	0	6	0	0	0	0	0	2	0	0	0	4	0	0	0	0	1	0	0	0	0	2	0	0	0	0	8	0	0	0	77	4	0	0	0	10	0	0	0	0	0	0	0	0	0	19	0	0	0	0	2	0	0	0	4	0	0	0	3	0	0	0	0	8	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	7	0	0	0	5	0	0	0	0	5	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
g_[Eubacterium] brachy group	43	0	0	0	0	0	0	25	0	0	0	2	157	0	0	1	3	35	0	0	0	1	0	0	0	0	3	0	0	1	0	14	4	0	0	0	16	32	0	0	0	10	28	0	2	0	14	12	0	0	0	11	0	0	0	0	0	123	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	5	61	0	0	0	5	0	0	0	0	0	28	0	0	0	0	2	0	0	0	2	1	0	0	0	4	1	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0	2	0	0	0	2	15	0	0	0	1	22	0	0	0	3	62	0	0	2	3	8	2	0	0	4	21	0	2	0	0	2	0	0	0	0	23	0	0	0	5	3	0	1	0	0	0	20	8	11	0	0	0	1	1	6	21	1	1	11	23	1	0	171	5	0	2	54	0	5	0	2	0	0	3	0	0	3	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	3	0	0	6	0	12	0	0	0	45	2	17	0	93	0	0	16	0	0	1	0	6	0	0	2	3	2	0	0	4	0	0	0	0	4	0	0	0	0	13	0	0	0	0	9	0	0	0	0	14	0	3	0	22	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	50	0	0	61	0	4	24	0	0	10	0	0	1	148	3	0	0	9	0	0	0	0	5	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	43	0	5	0	0	0	0	0	0	0	4	0	0	6	0	0	0	5	0	0	0	0	2	0	16	0	1	4	0	16	0	0	3	0	14	1	14	5	0	0	0	0	0	0	0	63	3	7	0	0	30	0	5	0	0	13	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5	0
g_[Eubacterium] coprostanoligenes group	0	0	0	0	0	0	0	1	0	0	0	0	0	29	1	0	0	0	1	0	0	0	38	0	0	0	0	54	15	0	0	0	6	6	0	0	0	0	8	0	0	0	10	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	3	0	0	0	13	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	2	0	0	0	0	18	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	5	3	0	0	0	0	0	0	0	0	1	0	0	2	0	44	0	0	0	0	0	0	0	0	0	0	0	3	0	0	18	0	0	0	1	0	1	0	0	0	4	0	1	52	0	30	0	0	2	0	0	0	0	6	0	5	0	0	26	0	0	0	0	2	0	0	0	0	3	0	0	0	0	28	0	0	0	0	9	0	0	0	0	34	0	10	0	0	0	6	0	0	0	0	78	0	0	0	0	3	0	0	0	0	0	0	0	0	0	54	0	0	0	0	3	0	3	0	0	0	0	0	0	0	28	0	0	0	0	4	0	0	0	0	49	0	0	0	16	0	0	0	0	10	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	21	0	0	0	0	64	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	23	1	0	0	0	0	0	0	6	0	0	0	1	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	7	0	0	0	0	33	0	0	0	0	8	0	0	0	0	8	9	0	0	0	5	0	0	0	0	99	2	0	0	0
g_[Eubacterium] eligens group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	122	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	64	0	0	0	0	0	0	0	0	0	24	0	0	0	0	80	0	0	0	0	0	0	0	0	0	22	0	0	0	0	21	0	0	0	0	9	0	2	0	67	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	0	11	0	0	0	0	13	0	0	0	0	10	0	0	0	0	8	0	0	0	0
g_[Eubacterium] hallii group	0	0	0	0	0	0	0	0	59	0	0	0	0	15	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	4	0	0	0	0	6	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0	4	1	0	0	0	2	0	0	0	0	6	3	0	2	0	0	0	0	0	0	6	1	0	0	0	11	0	0	0	4	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	69	0	0	2	0	1	0	0	0	0	11	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	6	0	0	7	0	0	0	0	3	0	0	0	0	4	0	0	0	0	11	0	0	0	0	69	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	34	0	0	0	0	7	0	0	0	0	14	0	0	0	0	6	0	0	0	0	0	0	0	0	23	0	0	0	0	0	72	0	0	0	11	0	0	0	0	0	0	0	0	107	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	22	0	0	0	0	7	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	26	0	0	0	0	13	0	0	0	0	5	0	0	0	0	46	0	0	0	0	2	0	0	0	0	20	0	0	0	0
g_[Eubacterium] nodatum group	3	1	3	15	0	0	24	166	0	5	15	49	94	0	4	11	26	87	0	1	27	20	3	0	0	15	38	0	0	0	16	106	2	0	0	11	21	96	0	0	17	94	103	0	5	42	107	34	0	0	3	36	9	0	0	8	7	74	0	4	11	48	35	0	0	8	22	0	6	151	109	0	4	16	24	38	8	0	13	14	39	8	0	10	34	62	2	0	10	17	44	3	1	15	25	89	0	0	12	10	0	7	0	12	32	74	10	12	14	29	5	0	10	16	226	6	0	52	23	19	6	0	11	14	8	3	0	6	16	36	3	0	13	32	21	0	0	3	10	37	6	0	4	17	39	4	0	10	23	47	5	0	11	26	12	4	0	19	28	103	17	0	24	32	47	5	0	24	43	26	24	127	24	12	0	0	5	0	4	46	44	103	11	26	73	24	0	12	0	0	45	14	18	0	4	0	5	14	0	0	44	9	7	0	41	0	4	29	0	13	51	16	42	0	22	4	14	9	0	7	0	8	21	0	0	36	24	15	0	0	28	24	18	0	2	211	4	35	19	6	0	356	91	86	10	0	4	12	17	0	0	4	37	70	0	0	237	24	126	0	3	30	12	48	0	0	22	16	38	0	0	38	8	10	0	0	66	13	14	0	0	140	27	31	2	46	4	137	0	0	16	11	10	0	2	17	0	5	181	0	5	116	48	4	50	0	46	27	0	8	49	44	0	4	53	16	0	6	87	112	46	2	4	43	10	4	118	9	58	16	16	0	9	56	14	35	0	0	109	43	46	0	7	1	14	33	0	4	3	27	0	0	26	5	3	0	0	32	2	22	0	141	0	31	34	0	0	108	29	26	5	0	0	0	8	0	0	0	17	12	0	49	0	11	15	0	78	0	8	33	8	47	0	12	47	0	0	6	8	42	0	0	43	6	6	0	0	15	14	13	5	8	121	30	60	0	0	0	8	27	0	0	71	3	15	0	4	91	61	30	0	8	3	5	10	0	4	10	25	0
g_[Eubacterium] ruminantium group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_[Eubacterium] saphenum group	0	0	0	0	0	0	1	0	0	0	0	1	57	0	0	4	19	27	0	0	0	4	1	0	0	0	11	0	0	0	0	1	0	0	0	0	0	19	0	0	0	17	113	0	4	4	83	0	0	0	0	1	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	17	0	0	0	16	61	9	0	0	19	0	2	0	0	7	0	0	0	0	0	5	1	0	0	22	39	0	0	2	40	1	3	0	0	0	6	9	0	0	22	2	0	0	23	0	6	0	0	46	0	3	0	0	0	0	0	0	3	9	0	0	0	0	0	119	0	0	1	8	104	6	0	0	32	0	4	0	0	12	65	2	0	3	50	11	0	0	0	35	0	0	0	0	0	6	7	0	0	6	0	0	12	27	5	0	0	0	3	7	5	43	0	14	63	0	11	0	0	0	0	133	3	84	0	0	0	3	29	0	0	2	0	1	0	2	0	1	1	0	0	5	0	1	0	0	0	0	0	0	3	0	1	39	0	0	53	4	9	0	0	10	0	9	0	0	27	0	9	0	0	0	0	0	4	0	0	0	0	55	0	0	1	0	0	0	0	0	0	2	0	0	14	0	55	0	0	72	0	0	0	0	0	0	0	0	0	3	0	0	0	0	12	0	22	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	134	0	0	14	0	0	12	0	0	0	0	0	0	21	5	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	29	2	21	0	22	0	0	19	0	0	0	0	3	0	59	20	23	0	0	21	0	8	0	0	0	0	0	0	0	4	0	8	0	0	0	0	0	0	0	0	0	15	0	32	0	5	41	0	16	0	0	26	0	5	0	0	0	0	0	3	0	0	0	0	68	4	47	0	0	0	0	0	4	0	4	0	1	0	0	0	0	0	0	0	39	0	20	0	0	7	0	4	0	0	0	0	0	0	0	5	4	9
