"HC006"	"HC007"	"HC008"	"HC012"	"HC025"	"HC029"	"HC030"	"HC035"	"LC035"	"LC043"	"LC052"	"LC053"	"LC054"	"LC089"	"LC091"	"LC097"	"LC101"	"LC110"	"LC116"	"LC121"	"LC123"
"g_[Eubacterium] brachy group"	3	14	16	0	7	0	2	4	3	2	17	16	6	0	0	2	5	4	0	0	0
"g_[Eubacterium] saphenum group"	11	1	0	0	0	0	9	12	29	39	4	55	0	19	23	15	0	1	0	0	9
"g_[Eubacterium] yurii group"	5	9	1	0	3	7	41	0	2	13	0	0	0	0	0	10	5	0	11	0	0
"g_Abiotrophia"	5	3	1	0	11	9	10	0	5	0	3	4	7	0	34	2	0	0	10	2	0
"g_Acholeplasma"	0	0	0	0	0	0	0	7	1	1	0	0	0	0	6	67	0	0	2	0	4
"g_Actinobacillus"	0	24	0	126	0	0	0	0	141	1	0	25	14	0	0	0	14	0	0	0	36
"g_Actinomyces"	149	86	39	45	96	29	31	43	29	18	71	50	105	96	37	64	22	143	17	27	25
"g_Aggregatibacter"	107	50	177	123	97	108	62	128	359	42	3	162	45	6	31	15	91	16	54	151	29
"g_Alloprevotella"	139	101	277	375	329	266	90	748	1079	213	352	159	270	133	0	194	121	131	162	450	358
"g_Alysiella"	0	0	0	0	0	8	0	0	14	10	0	0	0	0	0	0	17	0	0	0	0
"g_Anaeroglobus"	0	0	2	2	0	0	3	0	0	0	18	4	3	0	0	0	4	0	0	0	0
"g_Candidatus Udaeobacter"	0	2	3	2	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0
"g_Capnocytophaga"	63	42	83	115	26	49	202	31	128	169	203	29	26	86	1	45	77	17	70	53	0
"g_Cardiobacterium"	7	1	15	18	6	1	1	0	16	3	0	3	4	5	0	4	3	6	2	4	0
"g_Catonella"	10	49	23	7	19	20	17	13	23	40	13	8	17	28	0	55	30	29	94	12	3
"g_Clostridiales bacterium canine oral taxon 162"	3	0	0	1	0	0	0	0	19	6	0	8	0	11	0	13	2	1	3	47	7
"g_Clostridium sensu stricto 1"	3	8	5	4	0	0	0	0	0	0	17	10	6	0	0	0	0	0	0	0	0
"g_Comamonas"	3	1	7	11	2	0	6	0	25	6	0	3	0	0	5	0	0	0	13	0	0
"g_Defluviitaleaceae UCG-011"	2	4	0	3	0	0	0	6	12	12	4	2	0	3	0	17	4	0	2	0	0
