ID	Saliva	Saliva_sd	Unknown	Unknown_sd
HC001B	0.6251	0.011628031	0.3749	0.011628031
HC003B	0.9893	0.001418136	0.0107	0.001418136
HC004B	0.8289	0.009409806	0.1711	0.009409806
HC005B	0.9362	0.004442222	0.0638	0.004442222
HC006B	0.0114	0.002836273	0.9886	0.002836273
HC007B	0.0218	0.003425395	0.9782	0.003425395
HC008B	0.0369	0.004976612	0.9631	0.004976612
HC009B	0.9565	0.006704062	0.0435	0.006704062
HC010B	0.7182	0.012908223	0.2818	0.012908223
HC011B	0.9776	0.003306559	0.0224	0.003306559
HC012B	0.1372	0.01100303	0.8628	0.01100303
HC013B	0.9711	0.003634709	0.0289	0.003634709
HC014B	0.8837	0.010594023	0.1163	0.010594023
HC020B	0.9515	0.004648775	0.0485	0.004648775
HC021B	0.5489	0.006367452	0.4511	0.006367452
HC022B	0.9874	0.002458545	0.0126	0.002458545
HC023B	0.9973	0.001494434	0.0027	0.001494434
HC024B	0.9813	0.001888562	0.0187	0.001888562
HC025B	0.139	0.007717225	0.861	0.007717225
HC026B	0.7827	0.007056124	0.2173	0.007056124
HC027B	0.8516	0.005738757	0.1484	0.005738757
HC028B	0.5657	0.007394442	0.4343	0.007394442
HC029B	0.3371	0.005858517	0.6629	0.005858517
HC030B	0.4246	0.005929212	0.5754	0.005929212
HC031B	0.7479	0.005021067	0.2521	0.005021067
HC032B	0.8996	0.008983936	0.1004	0.008983936
HC034B	0.9431	0.004909175	0.0569	0.004909175
HC035B	0.2616	0.005015531	0.7384	0.005015531
HC036B	0.9698	0.002299758	0.0302	0.002299758
HC037B	0.8445	0.00546199	0.1555	0.00546199
HC038B	0.6634	0.011207141	0.3366	0.011207141
HC039B	0.9977	0.000823273	0.0023	0.000823273
LC001R	0.9391	0.004228212	0.0609	0.004228212
LC002L	0.8058	0.005370702	0.1942	0.005370702
LC006R	0.8437	0.006961002	0.1563	0.006961002
LC008L	0.9217	0.005696978	0.0783	0.005696978
LC009R	0.9624	0.003405877	0.0376	0.003405877
LC011R	0.0387	0.005334375	0.9613	0.005334375
LC012R	0.1918	0.022129919	0.8082	0.022129919
LC014L	0.8574	0.009512565	0.1426	0.009512565
LC016R	0.0403	0.0059264	0.9597	0.0059264
LC018R	0.1566	0.00727553	0.8434	0.00727553
LC020L	0.9833	0.001494434	0.0167	0.001494434
LC022R	0.7319	0.008478076	0.2681	0.008478076
LC025R	0.721	0.01344123	0.279	0.01344123
LC029R	0.9795	0.001715938	0.0205	0.001715938
LC030R	0.3338	0.025187298	0.6662	0.025187298
LC031R	0.0834	0.01066875	0.9166	0.01066875
LC033R	0.9299	0.015336594	0.0701	0.015336594
LC035L	0.0724	0.007351493	0.9276	0.007351493
LC036R	0.7769	0.043354995	0.2231	0.043354995
LC038L	0.9834	0.001712698	0.0166	0.001712698
LC039R	0.7513	0.017957048	0.2487	0.017957048
LC042L	0.5955	0.009058452	0.4045	0.009058452
LC043L	0.0484	0.004718757	0.9516	0.004718757
LC044R	0.8866	0.007691265	0.1134	0.007691265
LC045R	0.9816	0.0021187	0.0184	0.0021187
LC048R	0.6955	0.010669271	0.3045	0.010669271
LC051L	0.8525	0.006346478	0.1475	0.006346478
LC052R	0.4208	0.021180704	0.5792	0.021180704
LC053L	0.0222	0.00549343	0.9778	0.00549343
LC054R	0.0198	0.005006662	0.9802	0.005006662
LC058R	0.8775	0.009969398	0.1225	0.009969398
LC059R	0.9394	0.00660303	0.0606	0.00660303
LC063R	0.9212	0.005287301	0.0788	0.005287301
LC064R	0.9958	0.001032796	0.0042	0.001032796
LC065R	0.9842	0.02096452	0.0158	0.02096452
LC067R	0.9963	0.00105935	0.0037	0.00105935
LC068L	0.9021	0.003725289	0.0979	0.003725289
LC069R	0.9966	0.000516398	0.0034	0.000516398
LC075R	0.9978	0.001135292	0.0022	0.001135292
LC080L	0.9734	0.005015531	0.0266	0.005015531
LC081R	0.9794	0.001577621	0.0206	0.001577621
LC082R	0.9281	0.005065131	0.0719	0.005065131
LC084R	0.8581	0.006384878	0.1419	0.006384878
LC085R	0.8177	0.015129441	0.1823	0.015129441
LC086R	0.9371	0.004863698	0.0629	0.004863698
LC087R	0.9905	0.002223611	0.0095	0.002223611
LC088R	0.9891	0.00218327	0.0109	0.00218327
LC089L	0.1193	0.004473378	0.8807	0.004473378
LC090L	0.0529	0.003446415	0.9471	0.003446415
LC091R	0.0947	0.010209473	0.9053	0.010209473
LC092R	0.9733	0.001888562	0.0267	0.001888562
LC094L	0.893	0.01029563	0.107	0.01029563
LC095R	0.9956	0.000966092	0.0044	0.000966092
LC096R	0.6	0.014063349	0.4	0.014063349
LC097R	0.0189	0.0053427	0.9811	0.0053427
LC098L	0.9072	0.011496859	0.0928	0.011496859
LC099L	0.9836	0.001776388	0.0164	0.001776388
LC101L	0.0998	0.008954204	0.9002	0.008954204
LC102R	0.9825	0.003439961	0.0175	0.003439961
LC108R	0.9072	0.00608824	0.0928	0.00608824
LC109R	0.9919	0.002078995	0.0081	0.002078995
LC110R	0.3096	0.012642081	0.6904	0.012642081
LC116R	0.0031	0.001852926	0.9969	0.001852926
LC119R	0.914	0.007438638	0.086	0.007438638
LC120R	0.9867	0.002750757	0.0133	0.002750757
LC121R	0.0447	0.006290204	0.9553	0.006290204
LC123R	0.1494	0.005660781	0.8506	0.005660781
