index	variable	value	CT
HC003	Paired	0.472914057	HCG
HC003	Unpaired	0.563930759	HCG
HC004	Unpaired	0.681875147	HCG
HC004	Paired	0.646999749	HCG
HC005	Unpaired	0.667732091	HCG
HC005	Paired	0.586894157	HCG
HC006	Unpaired	0.962694439	LCG
HC006	Paired	0.964467522	LCG
HC007	Paired	0.974880016	LCG
HC007	Unpaired	0.971166284	LCG
HC008	Unpaired	0.931017914	LCG
HC008	Paired	0.919451585	LCG
HC009	Unpaired	0.629748756	HCG
HC009	Paired	0.686722621	HCG
HC010	Unpaired	0.718774536	HCG
HC010	Paired	0.430605342	HCG
HC011	Paired	0.545995562	HCG
HC011	Unpaired	0.587690372	HCG
HC012	Unpaired	0.865417257	LCG
HC012	Paired	0.822981995	LCG
HC013	Unpaired	0.638910375	HCG
HC013	Paired	0.60356729	HCG
HC014	Unpaired	0.643372042	HCG
HC014	Paired	0.667824948	HCG
HC020	Paired	0.455046884	HCG
HC020	Unpaired	0.626760926	HCG
HC021	Paired	0.575307403	HCG
HC021	Unpaired	0.716214131	HCG
HC022	Unpaired	0.611725955	HCG
HC022	Paired	0.303790496	HCG
HC023	Unpaired	0.647068889	HCG
HC023	Paired	0.603616273	HCG
HC024	Unpaired	0.587195196	HCG
HC024	Paired	0.361770301	HCG
HC025	Paired	0.837079223	LCG
HC025	Unpaired	0.873396355	LCG
HC026	Unpaired	0.629938583	HCG
HC026	Paired	0.505957745	HCG
HC027	Unpaired	0.59413332	HCG
HC027	Paired	0.370055083	HCG
HC028	Unpaired	0.730284162	HCG
HC028	Paired	0.670809029	HCG
HC029	Paired	0.731318653	LCG
HC029	Unpaired	0.791942169	LCG
HC030	Unpaired	0.715569132	LCG
HC030	Paired	0.638336347	LCG
HC031	Unpaired	0.743072035	HCG
HC031	Paired	0.58292793	HCG
HC032	Unpaired	0.640846744	HCG
HC032	Paired	0.560632689	HCG
HC034	Paired	0.368083721	HCG
HC034	Unpaired	0.663967838	HCG
HC035	Paired	0.78050737	LCG
HC035	Unpaired	0.820085863	LCG
HC036	Unpaired	0.60780604	HCG
HC036	Paired	0.415840593	HCG
HC037	Unpaired	0.734944126	HCG
HC037	Paired	0.658502024	HCG
HC038	Unpaired	0.694610768	HCG
HC038	Paired	0.621920008	HCG
HC039	Paired	0.37745957	HCG
HC039	Unpaired	0.612339588	HCG
LC029	Unpaired	0.60656383	HCG
LC029	Paired	0.468852129	HCG
LC030	Unpaired	0.844491732	LCG
LC030	Paired	0.89772213	LCG
LC031	Unpaired	0.914223502	LCG
LC031	Paired	0.852357756	LCG
LC033	Paired	0.409001957	HCG
LC033	Unpaired	0.6487109	HCG
LC035	Unpaired	0.882931464	LCG
LC035	Paired	0.837253719	LCG
LC036	Unpaired	0.729391815	HCG
LC036	Paired	0.560036112	HCG
LC038	Unpaired	0.647719646	HCG
LC038	Paired	0.581199579	HCG
LC039	Paired	0.54258152	HCG
LC039	Unpaired	0.684313578	HCG
LC042	Unpaired	0.822011869	HCG
LC042	Paired	0.522091793	HCG
LC043	Paired	0.926607349	LCG
LC043	Unpaired	0.927799677	LCG
LC044	Unpaired	0.794215102	HCG
LC044	Paired	0.712852413	HCG
LC045	Unpaired	0.591886861	HCG
LC045	Paired	0.275576315	HCG
LC051	Unpaired	0.645138787	HCG
LC051	Paired	0.448693983	HCG
LC052	Paired	0.606790966	LCG
LC052	Unpaired	0.812251724	LCG
LC053	Unpaired	0.93149046	LCG
LC053	Paired	0.926719563	LCG
LC054	Unpaired	0.955756283	LCG
LC054	Paired	0.957925537	LCG
LC058	Unpaired	0.654673312	HCG
LC058	Paired	0.620982749	HCG
LC059	Paired	0.606249683	HCG
LC059	Unpaired	0.603222155	HCG
LC063	Unpaired	0.642944593	HCG
LC063	Paired	0.552250764	HCG
LC064	Unpaired	0.645282201	HCG
LC064	Paired	0.478931038	HCG
LC065	Unpaired	0.633069262	HCG
LC065	Paired	0.384769339	HCG
LC067	Paired	0.537160302	HCG
LC067	Unpaired	0.57217792	HCG
LC069	Paired	0.31265012	HCG
LC069	Unpaired	0.648098622	HCG
LC080	Unpaired	0.723179832	HCG
LC080	Paired	0.338278783	HCG
LC084	Unpaired	0.643036097	HCG
LC084	Paired	0.447868721	HCG
LC085	Unpaired	0.649390369	HCG
LC085	Paired	0.601321255	HCG
LC086	Paired	0.434560736	HCG
LC086	Unpaired	0.648132829	HCG
LC087	Unpaired	0.614343135	HCG
LC087	Paired	0.402286173	HCG
LC088	Unpaired	0.599914402	HCG
LC088	Paired	0.428514197	HCG
LC089	Unpaired	0.880650395	LCG
LC089	Paired	0.880598514	LCG
LC091	Paired	0.226603707	LCG
LC091	Unpaired	0.883616446	LCG
LC092	Unpaired	0.592319799	HCG
LC092	Paired	0.382980856	HCG
LC094	Unpaired	0.715229254	HCG
LC094	Paired	0.392454532	HCG
LC095	Unpaired	0.564837243	HCG
LC095	Paired	0.537051873	HCG
LC096	Paired	0.752442018	HCG
LC096	Unpaired	0.758951489	HCG
LC097	Paired	0.945864662	LCG
LC097	Unpaired	0.951726487	LCG
LC098	Unpaired	0.583630639	HCG
LC098	Paired	0.565169441	HCG
LC099	Unpaired	0.56813509	HCG
LC099	Paired	0.43507242	HCG
LC101	Unpaired	0.88450745	LCG
LC101	Paired	0.864369428	LCG
LC102	Paired	0.43762853	HCG
LC102	Unpaired	0.651129473	HCG
LC108	Unpaired	0.662387115	HCG
LC108	Paired	0.534591826	HCG
LC109	Unpaired	0.580708212	HCG
LC109	Paired	0.613746806	HCG
LC110	Unpaired	0.802239074	LCG
LC110	Paired	0.777120217	LCG
LC116	Paired	0.968826311	LCG
LC116	Unpaired	0.978155199	LCG
LC119	Unpaired	0.653164558	HCG
LC119	Paired	0.525087631	HCG
LC120	Unpaired	0.600989756	HCG
LC120	Paired	0.559669752	HCG
LC121	Unpaired	0.942261057	LCG
LC121	Paired	0.92336589	LCG
LC123	Paired	0.584198477	LCG
LC123	Unpaired	0.876894684	LCG
