"HC001B"	"HC003B"	"HC004B"	"HC005B"	"HC009B"	"HC010B"	"HC011B"	"HC013B"	"HC014B"	"HC020B"	"HC021B"	"HC022B"	"HC023B"	"HC024B"	"HC026B"	"HC027B"	"HC028B"	"HC031B"	"HC032B"	"HC034B"	"HC036B"	"HC037B"	"HC038B"	"HC039B"	"LC001R"	"LC002L"	"LC006R"	"LC008L"	"LC009R"	"LC014L"	"LC020L"	"LC022R"	"LC025R"	"LC029R"	"LC033R"	"LC036R"	"LC038L"	"LC039R"	"LC042L"	"LC044R"	"LC045R"	"LC048R"	"LC051L"	"LC058R"	"LC059R"	"LC063R"	"LC064R"	"LC065R"	"LC067R"	"LC068L"	"LC069R"	"LC075R"	"LC080L"	"LC081R"	"LC082R"	"LC084R"	"LC085R"	"LC086R"	"LC087R"	"LC088R"	"LC092R"	"LC094L"	"LC095R"	"LC096R"	"LC098L"	"LC099L"	"LC102R"	"LC108R"	"LC109R"	"LC119R"	"LC120R"
"g_Prevotella 7"	9.604278075	7.718800648	6.77698145	6.242986841	10.82978723	8.368343363	11.11340846	12.55415721	2.288445891	10.58993698	2.119542179	5.469774952	12.31898632	19.68608945	7.741412504	11.21571838	7.862903226	8.72826087	2.897061845	5.916011035	9.078702747	6.226516371	11.0604333	13.90148081	13.0294179	17.30832511	11.10420551	11.07410491	16.02170352	4.156107451	5.207593138	13.20426365	7.628141807	10.11053646	5.29013738	24.65362673	7.760827276	7.645259939	4.143892208	5.516194332	13.29765751	6.561900192	4.375711182	6.058680225	7.054905127	1.680300685	3.030913302	6.280975018	10.62455857	15.9395466	2.719791248	9.101100693	20.66462168	11.54895423	4.074650078	5.790376274	6.652250026	10.6665316	8.269981508	11.14414599	14.13438257	10.34939391	6.896899929	4.691646322	10.95776694	9.975767367	11.36203246	3.912517859	5.593066613	3.819444444	11.20319214
"g_Fusobacterium"	5.43315508	3.474473258	4.837689713	6.71223095	5.063829787	1.805382082	3.184120748	6.406024345	1.769731489	10.11468127	0.869012293	11.43404985	3.197908286	2.841608535	5.51220995	3.980761359	2.069892473	2.967391304	5.362646394	3.330949218	4.813055154	1.696188943	1.801596351	2.961619825	11.97579804	2.248546671	13.06194324	5.214404663	12.44881245	0.486568677	3.745812608	8.353273874	2.425639337	1.338606632	3.167931105	1.95599022	3.593734002	2.772680938	1.563493072	12.01417004	5.422051696	4.138675624	4.137788352	2.66920877	7.125555107	4.510280787	17.69207532	11.95509255	6.618908284	9.14861461	0.923323966	3.373420302	0.746421268	1.849045165	11.64333852	3.086855644	2.862732983	4.365883306	6.657078282	2.860364978	6.56779661	3.137414689	8.623649399	2.664260694	7.502334751	3.150242326	5.565077125	5.539070227	5.865161745	5.024509804	8.246367915
"g_Oribacterium"	1.368983957	0.668557536	0.432124789	0.785473835	0.723404255	0.386056546	0.713325752	2.176604085	0.640764849	1.425767125	0.890207715	2.250479362	2.021319389	0.841198195	0.668760766	0.501432665	0.887096774	0.27173913	0.277378262	0.194135077	0.846932452	0.203972088	0	0.25183842	0.146046318	0.142590765	0.248601616	1.446711074	0.624488124	0.152052712	0.812100294	0.41331303	0.252442103	0.101409593	0.246052901	0.916870416	0.593836388	0.937818552	0.495741706	0.151821862	0.252423263	0.059980806	1.706837695	0.550789111	0.383528462	0.198982976	1.319101802	0.313543036	1.987690445	0.77581864	0.180650341	0.275173257	0.511247444	0.858846115	0.290305858	1.866236255	0.525177634	1.063614263	2.044380522	1.435308591	0.181598063	5.2154426	0.626072907	0	0.933900591	0.333198708	1.945760661	0.296735905	0.221707145	1.02124183	0.409249028
"g_Veillonella"	2.278074866	3.535251216	7.398819562	3.111292461	3.989361702	4.223912797	6.699059237	4.961832061	1.108624898	1.787374729	5.351844002	6.29730548	6.59694288	5.160032827	3.445131219	3.30536226	2.728494624	1.956521739	1.561536881	2.850720343	3.542656476	2.329575953	7.71949829	11.31258185	2.38890048	3.389272787	1.988812927	1.675686928	12.8992629	0.699442473	3.045376104	1.239939091	1.73416749	3.113274516	4.377691204	8.129584352	16.3714549	6.472986748	3.152408796	2.5	7.835218094	0.68378119	3.775731871	5.105391378	3.310456197	2.509396418	1.882992649	5.947203398	7.244475835	4.534005038	1.344841429	2.038320424	5.613496933	8.436900071	2.695697252	3.147382225	5.272371537	3.849270665	1.725909184	4.367438999	8.93866021	15.71763268	6.04867212	2.547500265	3.880875791	2.564620355	5.988506906	1.890317617	3.82948705	2.134395425	6.588909351
"g_Leptotrichia"	1.764705882	0.982576985	3.256745363	4.488421912	0.989361702	0.420120359	1.499017885	3.063750774	1.271358828	0.278954437	0	1.473408013	1.186645213	0.882232253	2.371060898	0.961932051	0.376344086	0.391304348	1.07869324	1.410033718	0.506093782	0.203972088	0.068415051	1.067794903	6.373878573	2.402105956	3.646157033	1.092839301	6.285831286	4.774455144	1.431326769	0.848379378	1.767094721	0.466484129	0.809924134	10.3606357	2.805365005	0.366972477	0.72454557	0.28340081	0.827948304	0.479846449	0.734457433	1.101578223	2.169963666	1.061242538	0.563890847	1.335086477	1.876702654	1.037783375	0.592131674	1.222992254	0.337423313	1.505506719	0.528771384	1.069302936	7.537843682	2.370340357	1.37661804	2.193971704	2.945924132	8.240806764	2.140765425	0.38212504	1.981944589	1.302504039	0.705716302	0.175843499	1.380630858	0.745506536	2.107632494
"g_Prevotella 6"	0.288770053	0.162074554	0.42158516	0.520248903	0.819148936	0.760758488	0.847720459	1.072828554	0.132221318	0.309949375	0	0.928448885	0.241351569	0.83093968	0.516769683	0.347932869	0.228494624	1.27173913	0.071912883	0.817410851	0.54740756	0.579710145	0.376282782	1.511030523	0.312956395	0.537457497	0.331468821	1.519567027	1.73013923	0.101368474	0.050756268	0.793996084	0.746350565	0.243383024	0.287061718	1.589242054	2.139858708	0.509683996	1.576204398	0.617408907	0.252423263	0.143953935	0.155167063	0.201249868	0.413807025	0	0.735071997	0.101142915	0.302693976	0.574307305	0.321156162	0.356706074	0.511247444	0.858846115	0.134784863	1.603954403	0.278035218	0.962317666	0.092459421	3.557514866	0.31275222	0.468574921	0.434211855	2.165375226	0.913147245	1.019789984	0.917431193	0	0	0	0.890116636
"g_Prevotella"	6.192513369	6.189222042	2.308178752	2.835866571	6.765957447	3.224707619	4.32130673	7.726428719	2.705451587	9.474119227	5.076303518	5.419315774	3.469428801	4.349610176	3.181680008	6.160458453	5.64516129	2.804347826	4.345592768	3.392255032	4.906011155	4.616210413	2.987457241	4.170444243	4.339662007	15.45464517	12.56474	4.735636969	8.834971335	3.162696401	6.811491219	5.786382423	7.606190319	4.127370449	3.701045725	6.805215974	4.668782635	3.496432212	1.868564891	6.852226721	7.098142165	14.2634357	8.275576704	2.934011228	4.733548648	3.38271059	10.09968785	5.805603317	3.450711331	5.400503778	1.52549177	5.91112923	1.421267894	3.061533798	2.198030067	3.914052255	3.707136237	4.355753647	8.105609205	7.98646709	4.691283293	6.957318937	8.270221145	4.012312918	7.004254436	3.897415186	8.549248916	2.110121991	4.454298095	2.941176471	9.208103131
"g_Lachnoanaerobaculum"	0.171122995	0.465964344	0.463743676	1.244516985	0.436170213	0.227092086	0.206761088	1.733030741	0.417005696	0.320281021	0	0.524775457	0.573209976	0.543701272	0.212787516	0.501432665	0.080645161	0.108695652	0.164372303	0.224787984	0.185912002	0.128824477	0.011402509	0.302206105	0.114750678	0.197433366	0.569712036	0.135303913	0.44021294	0.020273695	0.741041519	0.141396563	0.450005488	0.15211439	0.276809514	2.129176854	1.105764308	0.305810398	0.648277615	0.313765182	0.302907916	0.923704415	0.258611772	1.334604385	0.343157045	0.099491488	0.573960326	0.627086073	0.988800323	0.473551637	0.130469691	0.275173257	0.143149284	0.454683237	0.145152929	0.423686069	0.916486459	0.465964344	0.760221903	0.358827148	0.201775626	5.897932159	0.595779057	0.042458338	0.38393691	0.313004847	0.34277649	0.120892406	0.493802278	0.47998366	0.491098834
"g_Porphyromonas"	3.454545455	8.843192869	5.796795953	15.42384984	7.276595745	9.310775519	5.448154657	3.393851867	5.949959317	7.345800186	3.804578211	6.832172772	4.696299276	4.421419778	5.51220995	4.901760131	3.76344086	1.47826087	4.468871995	6.641463165	7.343524065	1.910896404	10.85518814	4.664047547	10.07719591	3.323461665	13.69380568	13.16611157	3.920966421	1.946274709	13.74479748	10.67000218	1.975633849	6.601764527	11.35944228	0.733496333	1.699600696	2.895005097	1.830430914	21.02226721	5.401857835	10.78454894	7.458363505	3.1034848	10.50666128	5.925270838	6.051757124	10.00303429	2.895772374	6.609571788	3.924126857	5.004076641	1.134969325	0.687076892	27.7967859	3.742560274	1.894758521	7.313614263	5.999589069	5.618207915	8.222356739	2.241010492	8.593355549	7.217917419	9.287122549	5.86631664	5.020667406	10.53961974	5.734152978	15.625	7.66318805
"g_Solobacterium"	0.085561497	1.185170178	1.939291737	0.27542589	0.319148936	0.828886113	0.506564665	0.701464824	0.122050448	0.475255708	0.402713014	0.080734686	0.170957361	0.666803447	0.405309555	0.204666394	1.411290323	0.326086957	0.205465379	0.367834883	0.175583557	0.085882984	0.296465222	0.352573789	0.511162111	0.219370407	0.63186244	0.478767694	0.194512695	0.162189559	0.131966298	0.924515989	0.493908462	0.111550553	0.041008817	0.346373268	0.081908467	0.203873598	0.622854964	0.101214575	0.080775444	0.395873321	0.424123306	1.620591039	0.292692774	0.265310635	0.3423623	0.283200162	0.918171728	0.503778338	0.090325171	0.224215247	0.255623722	0.303122158	0.165889062	0.716231212	0.525177634	0.182333874	0.287651531	1.004716014	0.262308313	0.030559234	0.656366758	0.053072922	0.726367127	0.171647819	0.080653292	0.076931531	0.292250328	0.132761438	0.460405157
