"HC006B"	"HC007B"	"HC008B"	"HC012B"	"HC025B"	"HC029B"	"HC030B"	"HC035B"	"LC011R"	"LC012R"	"LC016R"	"LC018R"	"LC030R"	"LC031R"	"LC035L"	"LC043L"	"LC052R"	"LC053L"	"LC054R"	"LC089L"	"LC090L"	"LC091R"	"LC097R"	"LC101L"	"LC110R"	"LC116R"	"LC121R"	"LC123R"
"g_Prevotella 7"	0.222167366	0.340964442	0.383260825	0.829519451	9.193194292	2.870630263	2.466923925	1.625025391	0.824437163	2.176427295	0.140505821	0.713630339	1.597396835	6.691196511	0.110472824	0.180087471	10.90628218	1.859799714	0.031799873	0.437764483	1.355514479	0.144032922	0	0.392828364	3.527159125	0	1.862234682	2.205246469
"g_Fusobacterium"	0.320908418	0.219191427	0.290035219	1.315789474	0.9467618	1.454452666	4.740904079	1.198456226	0.105697072	0	0.06021678	0.479151799	0.236651383	2.357590624	0.640742377	0.051453563	0.051493306	0.102186797	0.04239983	0.963081862	0.266995276	3.981481481	0.057944142	42.21394037	3.86979744	0.251809884	0.260312375	1.354857308
"g_Oribacterium"	0.049370526	0	0.082867205	0.386155606	0.603732162	0.255167134	0.454796031	0.132033313	0	0.042056566	0.06021678	0.010194719	0	0	0	0.823257011	2.296601442	0.040874719	0	0.131329345	0	0	0.092710627	0.040290089	0.302327925	0	0	0.043240127
"g_Veillonella"	0.296223155	0.633219679	0.145017609	0.471967963	0.041163557	2.29650421	1.667585447	0.873451148	0.232533559	0.189254547	2.047370534	0.377204608	4.74781837	0.286181521	0.497127707	0.951890918	3.707518023	0.265685673	0.233199067	0.700423172	0.862600123	13.80658436	0.127477112	0.191377921	1.380630858	0	0.100120144	1.153070049
"g_Leptotrichia"	0	0	0.165734411	0.228832952	0.219538968	0.293442205	0.85446527	0.650010156	0.697600676	0.094627274	0.140505821	0.254867978	2.514420944	0.054510766	0.23199293	0.385901724	0	0.102186797	0.074199703	0.642054575	0.123228589	0.020576132	0.150654769	0.020145044	0.544190265	0	0.010012014	0.115307005
"g_Prevotella 6"	0	0.219191427	0	0	0.535126235	0.216892064	0.165380375	0.142189722	0.063418243	0	3.311922923	0	0.443721343	0.068138457	0	0	0.133882595	0	0	0.160513644	0	0.596707819	0	0.040290089	0.493802278	0	0	0
"g_Prevotella"	0.222167366	0.097418412	0.362544023	0.915331808	2.099341383	0.77825976	6.11907387	1.08673573	6.077581651	9.893807171	0	0.907330003	1.079721935	1.212864541	0.022094565	0.025726782	3.563336766	0.940118537	0.031799873	0.525317379	0.369685767	0.092592593	0.023177657	19.08742949	12.30474655	1.79414542	0.510612735	0.345921015
"g_Lachnoanaerobaculum"	0	0	0	0.171624714	0.027442371	0.153100281	0	0.243753809	0.010569707	0	0	0.091752472	0	0	0.552364118	0.205814253	0.329557158	0.040874719	0	0.087552897	0.082152393	0	0	0.070507655	0.20155195	0	0	0.317094263
"g_Porphyromonas"	0.740557887	0.608865075	0.217526414	2.088100686	1.440724479	1.760653228	3.445424476	2.772699573	0.19025473	2.83881821	0.180650341	1.243755735	2.943351575	0.204415372	0.342465753	2.263956779	8.722966014	0.081749438	0.010599958	1.430030644	1.129595399	59.43415638	0.011588828	1.410153102	29.0134032	0.188857413	0.720865038	0.648601903
"g_Solobacterium"	0.098741052	0	0.113942407	0.085812357	0	0.127583567	0.137816979	0.15234613	0	0	0.06021678	0.040778877	0.014790711	0.013627691	0.077330977	0.077180345	0.020597322	0.040874719	0.010599958	0.058368598	0.041076196	0.010288066	0	0.050362611	0.070543183	0	0.030036043	0.172960507
"g_Peptostreptococcus"	0.345593681	0.316609839	0.103584007	0.214530892	0.631174533	0.331717275	0.537486218	1.249238269	0	0.494164651	0.02007226	0.091752472	0.10353498	0.163532298	0.23199293	0.308721379	8.980432544	2.268546904	0.052999788	0.51072523	0.533990552	0.061728395	0	1.510878324	0.473647083	0	0.190228274	0.273854137
"g_Granulicatella"	0.419649469	0.24354603	0.176092811	0.657894737	0.082327113	1.926511865	0.565049614	0.162502539	0	0.672905057	0.160578081	0.560709552	0.073953557	0	0.165709236	0.308721379	1.174047374	4.169221337	0.084799661	0.539909529	0.45183816	0	0.254954224	0.090652699	0.28217273	0	0.040048058	0.634188527
"g_Neisseria"	0.246852629	0.292255236	0.704371245	1.187070938	3.169593853	5.371268181	15.44928335	0.731261426	0.792728041	2.260540427	0.602167804	1.845244164	1.597396835	1.349141455	1.02739726	2.572678158	1.781668383	2.227672185	0.254398982	3.020574931	2.91640994	0.514403292	0.220187739	2.42747784	2.317847425	0.283286119	0.34040849	1.253963678
"g_[Eubacterium] nodatum group"	0.074055789	0	0.020716801	0.128718535	0	0.242408778	0.110253583	0.396099939	0	0	0	0.040778877	1.079721935	0	0.044189129	0.180087471	3.666323378	0	0.04239983	0.102145046	0.082152393	0.267489712	0	0.473408541	1.219389298	0	0.030036043	0.144133756
"g_Catonella"	0	0.024354603	0.031075202	0	0.329308452	0.204133708	0.165380375	0.132033313	0	0	0.02007226	0	0.014790711	1.049332243	0	0.077180345	0	0	0	0	0	0.339506173	0	0	2.227149048	0	0	0.115307005
"g_Campylobacter"	0.123426314	0.121773015	0.290035219	0.314645309	0.013721186	0.459300842	0.840683572	0.416412756	0.010569707	1.019871727	0.260939382	0.509735957	1.538233989	0.177159989	0.23199293	0.617442758	0.35015448	0.020437359	0.021199915	0.058368598	0.718833436	1.604938272	0.011588828	2.236099919	4.172125365	0.157381177	0	0.273854137
"g_Gemella"	0.296223155	0.316609839	0.186451212	0.371853547	2.085620198	1.939270222	1.378169791	0.589071704	0.169115316	0.294395963	0.180650341	1.427260679	2.292560272	0.218043064	0.276182059	0.411628505	0.144181256	0.143061516	0.476998092	1.546767839	0.533990552	0.113168724	0.115888284	0.120870266	0.352715913	13.37740006	0.100120144	0.735082156
"g_Prevotella 2"	0.024685263	0	0	0.042906178	0	0.025516713	0.110253583	0.060938452	0	0.599306067	0	0.030584157	0.029581423	0.027255383	0.011047282	0	1.977342945	0	0.021199915	0	0.041076196	0	0	0.23166801	0.917061373	0	0.030036043	0.043240127
"g_Rothia"	0	0	0	0.872425629	0.343029638	0	0.482359427	0.284379443	0.179685023	1.598149511	0.521878764	0.499541238	1.183256915	0.136276915	0.066283694	0.385901724	0.545829042	0.183936235	0.254398982	0.423172333	0.821523927	3.672839506	0.173832426	0.241740532	0.52403507	0	0.370444533	0
"g_Haemophilus"	0.740557887	0.8037019	89.54837373	1.787757437	3.663556531	3.636131666	3.252480706	1.889092017	1.670013741	1.282725265	1.124046568	79.71250892	4.156189913	0.572363042	2.021652673	3.395935169	0.473738414	0.38830983	0.22259911	0.875528965	0.924214418	0.174897119	0.13906594	0.997179694	0.88682858	0.283286119	0.390468562	2.565580859
