	n(LST)	n(OLT)	core(OLT)	Union	Intersect	Exclusive	Jaccard-score	NESH-score	DelBet	COM
g_Filifactor	1	5	3	6	0	5	0	2.333	0.475	5
g_[Eubacterium] saphenum group	1	4	3	5	0	4	0	2.2	0.017	5
g_Aggregatibacter	6	6	5	12	0	6	0	2.1	-0.174	4
g_Butyrivibrio 2	6	10	5	13	3	7	0.231	2.008	0.431	4
g_Prevotella 7	11	10	5	18	3	7	0.167	1.922	0.15	1
g_Neisseria	5	6	3	10	1	5	0.1	1.9	0.6	2
g_.Eubacterium._nodatum_group	8	8	5	14	2	6	0.143	1.886	-0.436	4
g_Prevotella	11	8	5	17	2	6	0.118	1.835	-0.159	5
g_Atopobium	8	7	5	13	2	5	0.154	1.731	-0.025	4
g_Prevotella 6	4	8	5	9	3	5	0.333	1.722	0.505	4
g_Haemophilus	6	5	3	10	1	4	0.1	1.7	-0.059	2
g_Rothia	5	8	3	10	3	5	0.3	1.7	0.404	2
g_Selenomonas  3	6	8	5	11	3	5	0.273	1.682	-0.192	4
g_Veillonella	7	6	3	11	2	4	0.182	1.582	0.145	1
g_Actinobacillus	4	2	2	6	0	2	0	1.533	-0.115	4
g_Rikenellaceae_RC9_gut_group	1	3	3	3	1	2	0.333	1.533	0	5
g_Mycoplasma	7	4	3	10	1	3	0.1	1.5	-0.969	5
g_Treponema 2	2	5	3	5	2	3	0.4	1.5	0.011	5
g_Lactobacillus	2	1	1	3	0	1	0	1.433	-0.007	3
g_Ruminococcaceae UCG-014	7	5	3	10	2	3	0.2	1.4	0.196	2
g_Campylobacter	8	5	3	11	2	3	0.182	1.391	-0.009	2
g_Leptotrichia	9	2	2	11	0	2	0	1.382	-0.305	1
g_Peptostreptococcus	6	3	3	8	1	2	0.125	1.325	-0.409	4
g_Oribacterium	8	9	5	12	5	4	0.417	1.317	0.762	4
g_Catonella	7	3	3	9	1	2	0.111	1.311	-0.145	2
g_Gemella	5	6	3	8	3	3	0.375	1.3	0.286	2
g_Porphyromonas	10	3	2	12	1	2	0.083	1.283	-0.371	1
g_Parvimonas	6	1	1	7	0	1	0	1.243	-0.084	1
g_Capnocytophaga	5	2	1	6	1	1	0.167	1.1	0.07	1
g_Dialister	7	2	1	8	1	1	0.125	1.1	0.025	1
g_Stomatobaculum	6	2	2	7	1	1	0.143	1.1	-0.539	1
g_Granulicatella	6	3	3	7	2	1	0.286	0.957	-0.317	2
g_Acinetobacter	5	3	2	6	2	1	0.333	0.933	-0.158	3
g_Eikenella	10	1	1	10	1	0	0.1	0.9	-1	2
g_Corynebacterium 1	5	1	1	5	1	0	0.2	0.8	-0.049	3
g_Lachnoanaerobaculum	9	5	3	10	4	1	0.4	0.8	0.804	1
g_Bergeyella	4	1	1	4	1	0	0.25	0.75	-0.078	1
g_Megasphaera	6	5	3	7	4	1	0.571	0.671	-0.034	1
g_Fusobacterium	3	1	1	3	1	0	0.333	0.667	-0.005	2
g_Staphylococcus	6	2	1	6	2	0	0.333	0.667	-0.055	3
g_Actinomyces	7	3	3	7	3	0	0.429	0.571	-0.006	1
g_Enhydrobacter	4	2	2	4	2	0	0.5	0.5	-0.241	3
g_Streptococcus	6	3	3	6	3	0	0.5	0.5	-0.263	2
g_Ralstonia	4	3	2	4	3	0	0.75	0.25	0.029	3
